P.s,Item,Condition,Probmanip,Speaker,statement,response,final,Meaning,Imposition
1,1,1,0,0,0,0,0,Indirect,High
1,2,2,0,0,0,0,0,Indirect,Low
1,3,3,0,1,0,0,0,Direct,High
1,4,4,0,0,0,0,0,Direct,Low
1,5,1,0,0,0,0,0,Indirect,High
1,6,2,0,0,0,0,0,Indirect,Low
1,7,3,0,0,0,1,0,Direct,High
1,8,4,0,1,0,0,0,Direct,Low
1,9,1,0,1,0,0,0,Indirect,High
1,10,2,0,1,0,1,0,Indirect,Low
1,11,3,0,0,0,0,0,Direct,High
1,12,4,0,0,0,0,0,Direct,Low
1,13,1,0,1,1,0,0,Indirect,High
1,14,2,0,0,0,0,0,Indirect,Low
1,15,3,0,1,0,0,0,Direct,High
1,16,4,0,1,0,0,0,Direct,Low
1,17,1,0,1,1,0,0,Indirect,High
1,18,2,0,0,0,0,0,Indirect,Low
1,19,3,0,0,0,0,0,Direct,High
1,20,4,0,1,0,0,0,Direct,Low
1,21,1,0,1,0,0,0,Indirect,High
1,22,2,0,0,0,0,0,Indirect,Low
1,23,3,0,1,0,0,0,Direct,High
1,24,4,0,1,0,0,0,Direct,Low
1,25,1,0,0,0,0,0,Indirect,High
1,26,2,0,0,0,1,0,Indirect,Low
1,27,3,0,1,0,0,0,Direct,High
1,28,4,0,0,0,0,0,Direct,Low
2,1,4,1,0,0,0,0,Direct,Low
2,2,1,1,1,0,0,0,Indirect,High
2,3,2,0,0,0,0,0,Indirect,Low
2,4,3,1,0,0,0,0,Direct,High
2,5,4,0,0,0,0,0,Direct,Low
2,6,1,0,0,0,1,0,Indirect,High
2,7,2,0,1,0,0,0,Indirect,Low
2,8,3,0,0,0,0,0,Direct,High
2,9,4,0,1,0,0,0,Direct,Low
2,10,1,0,0,0,0,0,Indirect,High
2,11,2,0,1,0,0,0,Indirect,Low
2,12,3,0,1,0,1,0,Direct,High
2,13,4,0,0,0,0,0,Direct,Low
2,14,1,1,1,0,0,0,Indirect,High
2,15,2,0,0,0,0,0,Indirect,Low
2,16,3,0,1,0,0,0,Direct,High
2,17,4,0,0,1,0,0,Direct,Low
2,18,1,0,1,1,0,0,Indirect,High
2,19,2,0,1,0,0,0,Indirect,Low
2,20,3,1,1,0,0,0,Direct,High
2,21,4,0,0,0,0,0,Direct,Low
2,22,1,0,1,0,1,0,Indirect,High
2,23,2,0,1,0,0,0,Indirect,Low
2,24,3,0,1,0,0,0,Direct,High
2,25,4,0,1,0,0,0,Direct,Low
2,26,1,0,0,0,0,0,Indirect,High
2,27,2,1,1,0,0,0,Indirect,Low
2,28,3,0,0,0,0,0,Direct,High
3,1,3,0,0,0,0,0,Direct,High
3,2,4,0,0,0,0,0,Direct,Low
3,3,1,0,0,0,0,0,Indirect,High
3,4,2,1,1,0,0,0,Indirect,Low
3,5,3,1,0,0,0,0,Direct,High
3,6,4,0,0,0,0,0,Direct,Low
3,7,1,0,1,0,0,0,Indirect,High
3,8,2,,,,,,Indirect,Low
3,9,3,0,0,0,0,0,Direct,High
3,10,4,0,1,0,0,0,Direct,Low
3,11,1,0,0,0,0,0,Indirect,High
3,12,2,0,1,0,0,0,Indirect,Low
3,13,3,0,0,0,0,0,Direct,High
3,14,4,1,1,1,1,0,Direct,Low
3,15,1,1,0,0,0,0,Indirect,High
3,16,2,1,0,1,1,0,Indirect,Low
3,17,3,0,1,0,0,0,Direct,High
3,18,4,0,0,0,0,0,Direct,Low
3,19,1,0,0,0,0,0,Indirect,High
3,20,2,0,0,0,0,0,Indirect,Low
3,21,3,0,1,0,0,0,Direct,High
3,22,4,0,0,0,0,0,Direct,Low
3,23,1,0,0,0,0,0,Indirect,High
3,24,2,0,0,1,1,0,Indirect,Low
3,25,3,0,1,0,0,0,Direct,High
3,26,4,0,0,1,1,0,Direct,Low
3,27,1,0,0,0,0,0,Indirect,High
3,28,2,0,0,0,0,0,Indirect,Low
4,1,2,0,0,0,0,0,Indirect,Low
4,2,3,0,0,0,0,0,Direct,High
4,3,4,0,0,0,0,0,Direct,Low
4,4,1,0,0,1,0,0,Indirect,High
4,5,2,1,1,0,1,0,Indirect,Low
4,6,3,0,1,0,0,0,Direct,High
4,7,4,0,1,0,0,0,Direct,Low
4,8,1,0,1,0,1,0,Indirect,High
4,9,2,0,0,0,0,0,Indirect,Low
4,10,3,1,0,0,0,0,Direct,High
4,11,4,0,0,0,0,0,Direct,Low
4,12,1,0,0,0,0,0,Indirect,High
4,13,2,0,0,0,0,0,Indirect,Low
4,14,3,0,1,0,0,0,Direct,High
4,15,4,0,1,0,0,0,Direct,Low
4,16,1,0,1,0,0,0,Indirect,High
4,17,2,0,0,0,0,0,Indirect,Low
4,18,3,0,1,0,0,0,Direct,High
4,19,4,0,1,0,0,0,Direct,Low
4,20,1,1,0,0,0,0,Indirect,High
4,21,2,1,1,0,0,0,Indirect,Low
4,22,3,0,0,0,0,0,Direct,High
4,23,4,0,1,0,0,0,Direct,Low
4,24,1,0,1,0,1,0,Indirect,High
4,25,2,1,0,1,1,0,Indirect,Low
4,26,3,0,0,0,0,0,Direct,High
4,27,4,0,0,1,0,0,Direct,Low
