P.s,Item,Condition,Probmanip,Speaker,statement,response,final,Meaning,Imposition
1,1,1,1708,302,1399,1867,1206,Indirect,High
1,2,2,1466,296,1377,1674,828,Indirect,Low
1,3,3,1393,224,1270,1950,1812,Direct,High
1,4,4,2463,530,1691,1866,965,Direct,Low
1,5,1,1552,267,1332,1477,1345,Indirect,High
1,6,2,1445,444,1004,1067,797,Indirect,Low
1,7,3,1934,501,739,1551,1920,Direct,High
1,8,4,1459,288,798,946,765,Direct,Low
1,9,1,3302,317,1186,900,1736,Indirect,High
1,10,2,2906,638,807,1012,1180,Indirect,Low
1,11,3,1152,829,982,1225,1338,Direct,High
1,12,4,2806,264,1946,1165,867,Direct,Low
1,13,1,1543,251,1064,712,2766,Indirect,High
1,14,2,1814,197,1498,1584,1661,Indirect,Low
1,15,3,1930,271,1291,2155,1060,Direct,High
1,16,4,2627,353,785,1412,1384,Direct,Low
1,17,1,1763,520,979,1318,895,Indirect,High
1,18,2,1103,326,1800,1722,1238,Indirect,Low
1,19,3,2087,267,1734,1212,711,Direct,High
1,20,4,1573,377,2069,1741,1254,Direct,Low
1,21,1,1654,577,1130,1976,826,Indirect,High
1,22,2,1838,341,1402,1179,2039,Indirect,Low
1,23,3,2542,305,1757,1476,2504,Direct,High
1,24,4,1209,288,1338,1641,1042,Direct,Low
1,25,1,1552,288,1739,1436,1478,Indirect,High
1,26,2,1590,425,1702,2187,1548,Indirect,Low
1,27,3,2208,568,1052,1664,1293,Direct,High
1,28,4,2174,503,927,1471,2670,Direct,Low
2,1,4,3193,563,2347,1628,1567,Direct,Low
2,2,1,1673,853,2808,2040,1449,Indirect,High
2,3,2,2580,435,1130,2449,1381,Indirect,Low
2,4,3,3164,339,1706,1795,1993,Direct,High
2,5,4,2218,384,1906,884,1850,Direct,Low
2,6,1,1949,333,2320,1715,677,Indirect,High
2,7,2,2142,355,977,1517,3047,Indirect,Low
2,8,3,1428,575,533,1322,1409,Direct,High
2,9,4,2850,441,1065,1531,2319,Direct,Low
2,10,1,1981,359,994,650,1193,Indirect,High
2,11,2,1814,1382,1791,1380,1529,Indirect,Low
2,12,3,2294,378,1009,2231,1696,Direct,High
2,13,4,1863,429,2015,1626,3134,Direct,Low
2,14,1,2587,317,1480,2286,830,Indirect,High
2,15,2,3087,328,1706,2338,1193,Indirect,Low
2,16,3,2724,467,939,1829,2114,Direct,High
2,17,4,2385,457,1365,1318,975,Direct,Low
2,18,1,2606,502,1519,1177,1029,Indirect,High
2,19,2,3667,626,2312,1031,731,Indirect,Low
2,20,3,2282,494,1848,1460,1244,Direct,High
2,21,4,1795,489,833,1372,1048,Direct,Low
2,22,1,1618,652,1059,1716,2232,Indirect,High
2,23,2,3340,344,1013,2022,1225,Indirect,Low
2,24,3,1017,286,1435,1590,697,Direct,High
2,25,4,1626,434,782,1336,2531,Direct,Low
2,26,1,2019,373,1280,1797,1558,Indirect,High
2,27,2,2240,373,1208,1097,1052,Indirect,Low
2,28,3,2534,369,922,2529,2469,Direct,High
3,1,3,1269,258,724,978,496,Direct,High
3,2,4,1811,482,710,598,978,Direct,Low
3,3,1,1086,310,1629,848,1250,Indirect,High
3,4,2,2259,406,714,1131,596,Indirect,Low
3,5,3,1468,610,1677,798,593,Direct,High
3,6,4,1132,,1119,796,368,Direct,Low
3,7,1,1260,170,204,915,1462,Indirect,High
3,8,2,,,,,,Indirect,Low
3,9,3,2166,631,846,825,1355,Direct,High
3,10,4,1751,727,2485,704,914,Direct,Low
3,11,1,949,507,778,854,768,Indirect,High
3,12,2,2438,154,1190,862,1031,Indirect,Low
3,13,3,1371,191,915,2193,630,Direct,High
3,14,4,2934,699,2341,2572,1274,Direct,Low
3,15,1,2244,226,967,999,413,Indirect,High
3,16,2,1707,789,1152,2700,1877,Indirect,Low
3,17,3,961,158,908,958,402,Direct,High
3,18,4,884,273,953,1131,589,Direct,Low
3,19,1,1241,,1280,730,731,Indirect,High
3,20,2,1610,,830,1312,622,Indirect,Low
3,21,3,1240,206,675,988,458,Direct,High
3,22,4,782,330,659,1308,592,Direct,Low
3,23,1,2195,316,790,891,578,Indirect,High
3,24,2,993,487,1587,1368,1840,Indirect,Low
3,25,3,873,405,1043,716,1103,Direct,High
3,26,4,810,,1645,2437,1284,Direct,Low
3,27,1,1884,484,973,1438,1001,Indirect,High
3,28,2,1028,421,773,1137,1587,Indirect,Low
4,1,2,2266,356,1516,1975,673,Indirect,Low
4,2,3,5545,1491,4738,2570,3306,Direct,High
4,3,4,3837,992,3272,5091,1988,Direct,Low
4,4,1,2491,345,1439,2314,1422,Indirect,High
4,5,2,2888,550,3781,3128,2037,Indirect,Low
4,6,3,3540,775,2881,2058,1529,Direct,High
4,7,4,2141,141,1408,1892,1913,Direct,Low
4,8,1,1224,106,1428,845,744,Indirect,High
4,9,2,3730,387,1229,1750,1353,Indirect,Low
4,10,3,3159,870,1530,1137,699,Direct,High
4,11,4,2421,1432,1611,1511,1672,Direct,Low
4,12,1,1958,336,2255,1369,300,Indirect,High
4,13,2,3128,749,1767,1944,1138,Indirect,Low
4,14,3,2762,695,1303,3012,1074,Direct,High
4,15,4,6929,796,5460,3994,2615,Direct,Low
4,16,1,2066,158,719,2114,1401,Indirect,High
4,17,2,3838,340,953,1716,1042,Indirect,Low
4,18,3,1988,473,1073,1346,1005,Direct,High
4,19,4,3956,215,2245,986,857,Direct,Low
4,20,1,3582,,1442,2164,1121,Indirect,High
4,21,2,6224,1595,3845,4074,1590,Indirect,Low
4,22,3,1603,328,897,1026,1070,Direct,High
4,23,4,3824,359,1767,1871,366,Direct,Low
4,24,1,1208,309,1290,2282,857,Indirect,High
4,25,2,4301,691,5020,4164,3368,Indirect,Low
4,26,3,1835,494,2595,2714,881,Direct,High
4,27,4,2220,275,907,2294,2005,Direct,Low
4,28,1,253,148,3433,4508,3147,Indirect,High
5,1,1,1131,348,904,1807,1515,Indirect,High
5,2,2,2346,753,2605,985,1745,Indirect,Low
5,3,3,1790,331,843,1456,1503,Direct,High
5,4,4,2284,416,1613,1182,1281,Direct,Low
5,5,1,1160,347,1394,1003,1025,Indirect,High
5,6,2,1647,423,1371,1230,908,Indirect,Low
